Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 580
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,CALL freq,FOLD freq
8d 7c 2c,0.4992,62.98,945.601,127.67,37.02,228.897,64.2751,76.46,14.71,8.83
8d 7c 3c,0.23179,61.80,924.482,127.211,38.20,250.015,68.029,79.78,12.29,7.93
8d 7c 4c,0.12891,63.87,964.391,128.4,36.13,210.112,60.448,86.49,9.67,3.84
8d 7c 5c,0.25227,61.48,918.555,127.042,38.52,255.948,69.0744,74.54,23.61,1.85
8d 7c 6c,0.11727,56.55,806.988,121.338,43.45,367.51,87.9313,79.65,7.25,13.09
8h 8d 2c,1.52408,67.87,1039.85,130.286,32.13,134.65,43.5601,68.54,17.91,13.56
8h 8d 3c,1.25093,67.87,1038.26,130.091,32.13,136.244,44.0731,70.41,14.60,14.99
8h 8d 4c,1.37504,67.23,1026.14,129.788,32.77,148.364,47.0625,69.86,14.38,15.76
8h 8d 5c,1.15706,64.78,975.506,128.056,35.22,198.991,58.7261,66.69,15.04,18.28
8h 8d 6c,0.65593,67.45,1035.31,130.52,32.55,139.186,44.4506,65.33,20.57,14.10
8h 8d 7c,0.12067,64.58,981.916,129.298,35.42,192.581,56.5129,62.61,32.44,4.95
8h 2d 2c,1.96054,66.78,1016,129.367,33.22,158.504,49.6018,72.16,9.17,18.67
8h 3d 3c,1.97076,65.77,996.738,128.871,34.23,177.766,53.9821,73.01,7.41,19.58
8h 3d 2c,0.84647,66.24,1004.37,128.931,33.76,170.125,52.3853,73.13,11.52,15.35
8h 4d 4c,1.59348,67.12,1020.94,129.342,32.88,153.564,48.549,71.58,9.53,18.89
8h 4d 2c,0.996,68.18,1043.43,130.141,31.82,131.069,42.8143,70.82,13.24,15.94
8h 4d 3c,0.9787,67.48,1029.55,129.728,32.52,144.953,46.3406,72.35,11.46,16.20
8h 5d 5c,1.36444,66.56,1008.3,128.825,33.44,166.2,51.6569,69.92,9.98,20.11
8h 5d 2c,0.97425,67.41,1025.48,129.358,32.59,149.023,47.5333,68.91,15.41,15.68
8h 5d 3c,0.75339,66.40,1003.62,128.535,33.60,170.878,52.859,68.93,15.12,15.95
8h 5d 4c,0.51809,66.58,1001.54,127.913,33.42,172.963,53.7993,77.18,4.76,18.06
