Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
8c 7c 4d,35.4833,46.13,15.8193,76.2006,53.87,38.6807,128.23,15.92,66.71,17.37
8c 7c 5c,65.5089,47.38,17.2173,80.7569,52.62,37.2827,126.517,8.94,70.62,20.44
8c 7c 5d,39.4115,46.59,16.3179,77.8244,53.41,38.1822,127.669,16.06,66.32,17.62
8c 7c 6c,66.2701,47.34,16.8418,79.0599,52.66,37.6581,127.698,9.51,69.73,20.76
8c 7c 6d,26.8654,46.48,15.7463,75.287,53.52,38.7537,129.298,15.48,66.90,17.62
8c 7d 7c,47.7468,43.72,15.2685,77.6074,56.28,39.2315,124.478,22.76,52.54,24.70
8c 7d 2c,59.406,45.21,15.5051,76.2094,54.79,38.9949,127.097,18.97,60.54,20.49
8c 7d 3c,61.7622,45.36,15.5312,76.0934,54.64,38.9687,127.349,18.47,61.52,20.01
8c 7d 4c,35.4967,46.23,15.8779,76.331,53.77,38.6221,128.253,16.01,66.54,17.46
8c 7d 5c,36.9109,46.64,16.3843,78.057,53.36,38.1157,127.567,16.17,66.15,17.68
8c 7d 6c,24.9035,46.50,15.7567,75.3074,53.50,38.7433,129.307,15.61,66.72,17.67
8d 8c 2c,53.9819,42.11,15.1139,79.7637,57.89,39.3861,121.488,24.57,43.59,31.85
8d 8c 3c,58.0577,42.17,15.1183,79.6752,57.83,39.3817,121.598,24.68,43.63,31.69
8d 8c 4c,53.646,43.12,15.3919,79.3148,56.88,39.1081,122.788,22.95,49.72,27.33
8d 8c 5c,56.3055,43.69,15.5824,79.2541,56.31,38.9176,123.42,22.61,51.56,25.83
8d 8c 6c,54.794,43.89,15.5892,78.9302,56.11,38.9108,123.835,22.98,51.15,25.87
8d 8c 7c,54.4581,43.76,15.4296,78.3483,56.24,39.0704,124.063,23.56,50.78,25.66
8h 8d 8c,99.9987,40.27,13.2601,73.1769,59.73,41.2399,123.289,13.73,55.85,30.42
8d 3c 2c,66.9262,43.59,15.3458,78.2341,56.41,39.1542,123.945,21.58,54.23,24.18
8d 4c 2c,59.0946,44.53,15.5874,77.7905,55.47,38.9127,125.265,19.78,58.38,21.84
8d 4c 3c,62.7594,44.68,15.6182,77.6732,55.32,38.8818,125.518,19.29,59.19,21.52
8d 5c 2c,58.8197,45.05,15.7527,77.7117,54.95,38.7473,125.908,18.87,60.73,20.40
8d 5c 3c,61.4935,45.17,15.7984,77.7214,54.83,38.7016,126.047,18.50,61.22,20.28
8d 5c 4c,39.0394,46.00,16.0849,77.6987,54.00,38.4151,127.043,16.64,64.02,19.34
8d 6c 2c,64.7866,45.56,15.7763,76.9567,54.44,38.7237,127.01,18.38,62.73,18.89
8d 6c 3c,61.0081,45.43,15.7602,77.0931,54.57,38.7398,126.767,18.41,62.02,19.57
8d 6c 4c,44.7257,46.20,16.0488,77.1955,53.80,38.4512,127.625,15.74,67.87,16.40
8d 6c 5c,38.2494,46.49,16.3712,78.2568,53.51,38.1288,127.239,16.09,66.42,17.49
8d 7c 2c,62.1519,45.22,15.5128,76.2335,54.78,38.9872,127.09,19.03,60.48,20.49
8d 7c 3c,64.2641,45.36,15.5573,76.2187,54.64,38.9427,127.267,18.55,61.44,20.01
8d 7c 4c,37.4601,46.23,15.8867,76.3617,53.77,38.6133,128.241,15.98,66.52,17.49
8d 7c 5c,39.2828,46.68,16.4178,78.159,53.32,38.0822,127.537,16.26,65.92,17.82
8d 7c 6c,29.3358,46.50,15.7816,75.4206,53.50,38.7184,129.233,15.41,66.91,17.68
8h 8d 2c,60.688,41.57,14.8666,79.4777,58.43,39.6334,121.121,24.44,46.55,29.01
8h 8d 3c,64.3375,41.71,14.9098,79.4431,58.29,39.5902,121.277,24.85,45.89,29.26
8h 8d 4c,60.3983,42.82,15.1676,78.7104,57.18,39.3324,122.839,23.83,50.64,25.53
8h 8d 5c,62.6275,43.44,15.4119,78.8486,56.56,39.0881,123.4,24.53,50.31,25.16
8h 8d 6c,61.8519,43.72,15.4804,78.6883,56.28,39.0196,123.801,25.82,47.94,26.24
8h 8d 7c,53.3676,43.61,15.3784,78.3613,56.39,39.1215,123.89,26.92,45.79,27.29
8h 2d 2c,91.6117,42.30,14.6533,76.9835,57.70,39.8467,123.316,25.02,49.25,25.73
