Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
8h 6d 5c,100,49.79,99.8248,87.176,50.21,128.675,111.416,42.20,57.80
8h 7d 7c,100,53.35,129.32,105.397,46.65,99.1803,92.4311,80.57,19.43
8h 7d 2c,100,51.60,115.822,97.5838,48.40,112.678,101.229,60.67,39.33
8h 7d 3c,100,51.37,110.744,93.731,48.63,117.756,105.281,57.08,42.92
8h 7d 4c,100,49.85,99.3653,86.6701,50.15,129.135,111.948,50.50,49.50
8h 7d 5c,100,49.78,99.3156,86.7381,50.22,129.184,111.848,42.94,57.06
8h 7d 6c,100,48.15,84.7083,76.4852,51.85,143.792,120.582,21.26,78.74
9c 2d 2c,100,53.37,132.723,108.128,46.63,95.7769,89.2992,64.44,35.56
9c 3c 2c,100,51.85,111.66,93.6368,48.15,116.84,105.497,13.42,86.58
9c 3c 2d,100,51.75,113.314,95.198,48.25,115.186,103.799,55.10,44.90
9c 3d 3c,100,53.52,131.194,106.575,46.48,97.3063,91.0259,64.23,35.77
9c 3d 2c,100,51.78,113.575,95.3667,48.22,114.925,103.623,55.35,44.65
9c 4c 2c,100,52.05,115.197,96.2284,47.95,113.303,102.734,24.92,75.08
9c 4c 2d,100,51.75,117.774,98.9506,48.25,110.726,99.7739,59.71,40.29
9c 4c 3c,100,51.42,110.538,93.4624,48.58,117.962,105.578,16.52,83.48
9c 4c 3d,100,51.03,109.705,93.465,48.97,118.795,105.479,53.92,46.08
9c 4d 4c,100,52.80,124.374,102.42,47.20,104.126,95.9117,62.38,37.62
9c 4d 2c,100,51.68,116.812,98.2734,48.32,111.687,100.497,58.79,41.21
9c 4d 3c,100,50.94,108.546,92.6489,49.06,119.954,106.303,52.46,47.54
9c 5c 2c,100,51.65,113.933,95.9151,48.35,114.567,103.014,22.58,77.42
9c 5c 2d,100,51.07,114.002,97.0579,48.93,114.498,101.738,59.40,40.60
9c 5c 3c,100,51.12,109.706,93.3152,48.88,118.794,105.656,14.60,85.40
9c 5c 3d,100,50.48,106.483,91.7044,49.51,122.017,107.141,51.95,48.05
9c 5c 4c,100,50.95,109.269,93.2397,49.05,119.231,105.694,13.90,86.10
9c 5c 4d,100,50.40,105.629,91.1254,49.60,122.871,107.702,50.74,49.26
9c 5d 5c,100,51.97,116.786,97.7119,48.03,111.714,101.118,59.64,40.36
9c 5d 2c,100,50.95,112.444,95.9601,49.05,116.056,102.866,57.51,42.49
9c 5d 3c,100,50.34,104.849,90.5614,49.66,123.651,108.254,50.06,49.94
9c 5d 4c,100,50.35,105.107,90.7631,49.65,123.392,108.053,50.00,50.00
9c 6c 2c,100,51.58,113.617,95.7799,48.42,114.883,103.148,16.72,83.28
9c 6c 2d,100,51.03,113.873,97.0187,48.97,114.627,101.775,58.58,41.42
9c 6c 3c,100,51.08,109.88,93.5346,48.92,118.62,105.417,8.16,91.84
9c 6c 3d,100,50.49,106.949,92.0961,49.51,121.551,106.743,52.07,47.93
9c 6c 4c,100,51.32,113.294,95.9821,48.68,115.206,102.896,19.78,80.22
9c 6c 4d,100,50.40,109.963,94.8645,49.60,118.537,103.903,55.03,44.97
9c 6c 5c,100,50.22,106.568,92.2642,49.78,121.932,106.494,4.26,95.74
